Product Id,Product Name,Type,Quantity
P_wxpv-s5f24wuxiq9,Shallots,Organics,9 kg
P_6the-63irfmwu4oa,White Egg,Organics,8 nos
P_fmh0-ubzokgj5wrs,Mustard seeds,Organics,750 gm
P_vuya-dke69zg7ukr,Cashewnut,Organics,7 kg
P_oelf-yz31cjzahnl,Ladies Finger,Organics,6 kg
P_hbbx-z573k445r1,Beans,Safe Food,5.5 kg
P_6wd1-shzp1b5f2ob,Carambola,Organics,5.5 kg
P_kxs0-y00cykutj2o,Black plum,Organics,5 kg
P_sqcg-hdofbpkog6n,Olive oil,Organics,500 ml
P_853p-c6xnkt1ccyc,Green Gram,Safe Food,500 gm
P_ucg5-wh3x9y1kk5,Malli,Organics,500 gm
P_h7ty-0mh2t9ewyy5k,Orange,Organics,49.5 kg
P_sjyu-qbes49co8i,Coriander,Organics,400 gm
P_ccrt-xhkd8i379m,Bitter Gourd,Organics,4 kg
P_3ou1-zf35n49c91s,Pomegranate,Organics,3.5 kg
P_uh83-mj80ne6egs,Cherries,Organics,3.5 kg
P_jzf2-n2fajswo5tl,Kambam,Organics,2.5 kg
P_5zxt-m0l4sfihzji,Artichoke,Organics,250 gm
P_vh50-eqtynpu0m7,Peanut,Organics,250 gm
P_ac5f-1h0kj8ubs5b,Jiraka,Organics,250 gm
P_x3bn-huyh4249r3j,Bread,Organics,2 pack
P_xvqt-gfb4fmofaau,Onion,Organics,18 kg
P_0o2v-v5mdz84b2rf,Milk,Organics,1.8 L
P_4w5m-dcta8s84nyl,Pear,Organics,16.2 kg
P_txkt-yfxjdko75o,Kadala,Safe Food,10.5 kg
P_hf82-09u76v8i1lft,Sweet Lemon,Safe Food,1 kg
P_6p7h-0anp29pzfypa,Karuppan,Organics,1 kg
P_60zu-e6thx8ksx2,Pineapple,Organics,1 kg
P_zg0g-b5sz46dguc9,Honey,Organics,100 gm
P_ekmd-1ibo5key45a,Coconut,Organics,1 kg
P_s6af-8efzztde5z5,White Rice,Organics,1 kg
P_abb8-n55mtqglr1p,Water Melon,Organics,1 kg